RECORD,CAMIS,DBA,BUILDING,STREET,ZIPCODE,BORO,PHONE,CUISINE_DESCRIPTION,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BIN,BBL,NTA
138,50103408,ASTORIA COFFEE SHOP,34-10,STEINWAY STREET,11101,Queens,7183617770,Coffee/Tea,40.75633439,-73.92115001,401,22,15700,4010902,4006720025,QN70
139,41418337,NICK'S BISTRO,104-20,METROPOLITAN AVENUE,11375,Queens,7185446425,Greek,40.71005316,-73.84840832,406,29,64500,4095446,4039020037,QN17
140,50111356,BEVERLY PIZZA,358,EAST    2 STREET,11218,Brooklyn,9173780435,Pizza,40.64233611,-73.97816742,312,39,48600,3343493,3053530100,BK41
141,50088342,BRASSERIE LE MISTRAL,330,5 STREET,11215,Brooklyn,8448419019,New French,40.67184356,-73.98484487,306,39,13700,3021348,3009870039,BK37
145,41441583,KAPAMILYA,69-10,ROOSEVELT AVENUE,11377,Queens,7185070205,Filipino,40.74633999,-73.89612278,402,26,26300,4030351,4013010029,QN63
146,50131386,ALMAZ PALACE,90-17,63 DRIVE,11374,Queens,7183971818,Jewish/Kosher,40.72570011,-73.86519244,406,30,69500,4073138,4031090032,QN18
147,50128245,LA PIZZA ITALIA,201,AVENUE A,10009,Manhattan,9173883987,Pizza,40.72937067,-73.98112266,103,2,3400,1005997,1004400035,MN22
148,41571471,LITTLE CAESARS,146-05,JAMAICA AVENUE,11435,Queens,7182973450,Pizza,40.70180613,-73.80870445,412,27,24000,4206764,4096760044,QN61
151,50097069,CHUN YANG,133-41,41 AVENUE,11355,Queens,9173886936,Coffee/Tea,40.75747779,-73.83108585,407,20,87100,4618345,4050377507,QN22
152,41242701,MICHAEL & SONS ITALIAN FOOD & PIZZA,192-13,47 AVENUE,11358,Queens,7183576528,Pizza,40.75200021,-73.78860758,411,19,142900,4125330,4055480059,QN48
154,41453811,THE POINT CAFE & GRILL,402,HUNTS POINT AVENUE,10474,Bronx,7185897777,Sandwiches,40.80959439,-73.88071784,202,17,11700,2114610,2027720270,BX27
155,41486522,BOXERS NYC,37,WEST   20 STREET,10011,Manhattan,2122555082,American,40.74022476,-73.99225224,105,3,5400,1015489,1008220009,MN13
156,50000203,VINICIO'S,40-21,108 STREET,11368,Queens,7184783600,Latin American,40.75051041,-73.85864907,404,21,40100,4049227,4019960088,QN26
157,41514254,ELIM DELI CAFE,851,LEXINGTON AVENUE,10065,Manhattan,2124398320,Sandwiches,40.76562265,-73.96569031,108,4,12000,1042356,1013990020,MN40
158,50082395,LA GUARDIA CAFE,97-02,23 AVENUE,11369,Queens,7184580001,Latin American,40.76843154,-73.87323935,403,21,35700,4023825,4010910001,QN27
159,50093030,DOMINO'S,109-50,MERRICK BOULEVARD,11433,Queens,7186584200,Pizza,40.69640036,-73.78328858,412,27,25800,4216878,4101890008,QN01
160,50000187,GRANDMA PIZZA,2551,AMSTERDAM AVENUE,10033,Manhattan,2129274895,Pizza,40.85156264,-73.92836009,112,10,26700,1085400,1021490093,MN35
162,50129374,ROYAL QUEEN,136-20,ROOSEVELT AVENUE,11354,Queens,7183583388,Chinese,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22
164,50119580,CHINA DRAGON,19-44A,37 STREET,11105,Queens,9174329588,Chinese,40.77843407,-73.90191107,401,22,10701,4458169,4008260006,QN72
166,50163627,BAGELS AND MORE,34-15,103 STREET,11368,Queens,9294027091,Latin American,40.75549464,-73.86527629,403,21,37900,4619919,4017440051,QN26
167,50110878,EL RINCONCITO PAISA RESTAURANT & BAKERY,89-07,139 STREET,11435,Queens,3476393086,Latin American,40.70229067,-73.81291195,412,24,21200,4430395,4099760034,QN61
168,50076675,ELIM BISTRO,11,PARK PLACE,10007,Manhattan,2126194266,Sandwiches,40.71282098,-74.00829646,101,1,2100,1001399,1001240004,MN24
170,50141709,LUCKY WING,4805,CHURCH AVENUE,11203,Brooklyn,7069087539,Chicken,40.65165585,-73.93215779,317,41,87000,3102056,3046740043,BK91
171,50032742,KING TAI,1095,BERGEN STREET,11216,Brooklyn,7185131025,American,40.67606306,-73.94932227,308,36,31500,3030395,3012130078,BK61
172,50057789,STARBUCKS COFFEE,3165,BROADWAY,10027,Manhattan,9292432549,Coffee/Tea,40.8146774,-73.95903562,109,7,21100,1076685,1019930094,MN09
173,50066109,KORONET PIZZA,2848,BROADWAY,10025,Manhattan,2122221566,Pizza,40.80453796,-73.96641066,109,7,19900,1056917,1018820063,MN09
177,50118081,CAKES BY ALEJANDRO 1,215,EAST  167 STREET,10456,Bronx,9179626945,Bakery Products/Desserts,40.83392491,-73.91611409,204,16,17901,2002688,2024530024,BX14
180,50011515,SZE'S GARDEN,201,CYPRESS AVENUE,11385,Queens,7183869741,Chinese,40.70822326,-73.91989422,405,34,53900,4081572,4034170081,QN20
181,50000419,EVA'S X CINCO DE MAYO,43,WEST   55 STREET,10019,Manhattan,2123333020,Mexican,40.76227949,-73.97636274,105,4,10400,1034820,1012710015,MN17
182,50132129,BROOKLYN BARISTA COFFEE,880,WYCKOFF AVENUE,11237,Brooklyn,3478730022,Coffee/Tea,40.69730866,-73.90714103,304,37,43900,3078127,3033930049,BK77
183,40386619,PERIYALI,35,WEST   20 STREET,10011,Manhattan,2124637890,Greek,40.74020555,-73.99220533,105,3,5400,1015490,1008227502,MN13
184,41600159,JUMBO'S HAMBURGERS,274,WEST  145 STREET,10039,Manhattan,2124915444,Hamburgers,40.82244818,-73.94103386,110,9,23200,1060443,1020300005,MN03
185,50106138,GANSEVOORT LIBERTY MARKET,150,GREENWICH STREET,10007,Manhattan,9175664959,Fusion,40.71050401,-74.01252361,101,1,1300,1088795,1000580001,MN25
186,50104416,KINSHIP COFFEE,23-92,21 STREET,11105,Queens,6465122106,Coffee/Tea,40.77679666,-73.92130622,401,22,9700,4437036,4008907501,QN72
187,50108338,FIONA'S,562,FLATBUSH AVENUE,11225,Brooklyn,7182822047,American,40.66004623,-73.96061592,309,40,79802,3114595,3050260070,BK60
188,50106213,ROYAL SEAFOOD CAFE,103,MOTT STREET,10013,Manhattan,2129667199,Chinese,40.71731169,-73.99746039,102,1,4100,1082936,1002057501,MN24
189,50050205,ZIGGLE,149-06,41 AVENUE,11355,Queens,7183210220,Korean,40.76213646,-73.81556249,407,20,116700,4533261,4050540024,QN51
190,50096983,PUREPECHA,213,SMITH STREET,11201,Brooklyn,3479161227,Mexican,40.68453887,-73.99192702,306,39,6900,3006416,3004030007,BK38
195,50045803,PUNJABI KABAB AND GYRO,108-03,101 AVENUE,11416,Queens,7187099919,Indian,40.68731381,-73.83528832,409,29,11000,4197917,4094100035,QN54
196,50009877,CHIPILO ITALIAN SANDWICH SHOP,48,MULBERRY STREET,10013,Manhattan,2128048183,Italian,40.71505278,-73.99963206,103,1,2900,1086195,1001640009,MN27
199,50008140,CHOP'T,225,LIBERTY STREET,10280,Manhattan,6467620060,Salads,40.71153017,-74.01567279,101,1,31703,1000058,1000160125,MN25
202,50069801,YOAN MING GARDEN,1407,MADISON AVENUE,10029,Manhattan,2124269545,Chinese,40.78815004,-73.95346901,111,4,16002,1051474,1016030053,MN33
206,40897418,NB. NATIONAL BAKERY,1193,WALTON AVENUE,10452,Bronx,7185375105,Bakery Products/Desserts,40.83470972,-73.91969075,204,16,19700,2002959,2024790024,BX63
207,41467391,LA BRASA PERUANA,4618,5 AVENUE,11220,Brooklyn,7187654088,Peruvian,40.64718793,-74.00815854,307,38,8000,3011887,3007560143,BK32
208,41597632,LA CASA DEL POLLO PERUANO,94-09,ROOSEVELT AVENUE,11372,Queens,7184580824,Peruvian,40.74884134,-73.87248637,403,21,27300,4036562,4014820047,QN28
209,41610874,DUNKIN,3080,BOSTON ROAD,10469,Bronx,6468724159,Donuts,40.87090307,-73.85624801,211,12,34400,2111234,2045790033,BX31
213,41642313,LA ROSA BAKERY,155B,EAST  170 STREET,10452,Bronx,7182934153,Bakery Products/Desserts,40.83912248,-73.91480646,204,16,22300,2007996,2028330001,BX63
215,41139219,DOKEBI GRILL,199,GRAND STREET,10013,Manhattan,7187821424,Korean,40.71913969,-73.99679654,102,1,4100,1003090,1002370014,MN24
217,41072640,PARAISO AZTECA,102-53,43 AVENUE,11368,Queens,9175156471,Latin American,40.74727896,-73.86245266,404,21,40500,4431855,4019770029,QN26
219,50019096,LUK & BART HOMEMADE FOOD,2960,RICHMOND TERRACE,10303,Staten Island,7185106196,Polish,40.63680988,-74.15882168,501,49,22300,5113255,5012240049,SI12
220,41350559,"BURGER KING, POPEYES",60,METROPOLITAN OVAL,10462,Bronx,7188223678,Hamburgers,40.83775375,-73.85975679,209,18,21200,2096641,2039387501,BX46
223,41556098,UDOM THAI,661,WASHINGTON AVENUE,11238,Brooklyn,7186228424,Thai,40.67737502,-73.96367369,308,35,20500,3028591,3011540012,BK64
225,50096218,WILD ONION RESTAURANT & LOUNGE,119-08,MERRICK BOULEVARD,11434,Queens,7189779453,Caribbean,40.68556568,-73.77283499,412,28,28200,4268243,4123740129,QN08
227,50112510,ADEMI COFFEE AND TEA,465,BROOME STREET,10013,Manhattan,6466506571,Coffee/Tea,40.72244992,-74.001223,102,1,4700,1007033,1004747508,MN24
230,50018434,SEA WOLF,19,WYCKOFF AVENUE,11237,Brooklyn,7183883265,American,40.70664163,-73.92296554,304,34,44700,3072408,3031770001,BK77
231,50010297,FONDA OF CHELSEA,189,9 AVENUE,10011,Manhattan,9175255252,Mexican,40.74554436,-74.00202461,104,3,8900,1012639,1007190041,MN13
238,50050022,ESSEX TAQUERIA,123,ESSEX STREET,10002,Manhattan,2122608226,Mexican,40.71950413,-73.98772001,103,1,1800,1005331,1004100052,MN27
240,40679327,THE GREAT ROOM,333,ADAMS STREET,11201,Brooklyn,7182467000,American,40.69359088,-73.988904,302,33,1100,3391417,3001400160,BK38
241,50106006,787 COFFEE,100,LEXINGTON AVENUE,10016,Manhattan,9174004212,Coffee/Tea,40.7422055,-73.98308939,105,2,6800,1018167,1008830020,MN21
242,50043940,MADAM JI,154,BLEECKER STREET,10012,Manhattan,7187374235,Indian,40.72835392,-73.99957065,102,1,6500,1008266,1005257506,MN23
245,50079799,TOMMY'S TAVERN & TAP,2655,RICHMOND AVENUE,10314,Staten Island,7184892201,American,40.58229742,-74.16905259,502,51,27702,5039658,5024000180,SI24
249,50011154,SMITHFIELD HALL,138,WEST   25 STREET,10001,Manhattan,2129299677,American,40.74467682,-73.99307094,104,3,9100,1014991,1008000061,MN13
251,50096033,FABIO'S PIZZERIA,635,MEEKER AVENUE,11222,Brooklyn,7183897500,Pizza,40.72221254,-73.94122751,301,33,59100,3256423,3027050035,BK76
253,50139765,BAOZI,5405,8 AVENUE,11220,Brooklyn,6464343333,Chinese,40.63876432,-74.00613614,312,38,10600,3139116,3056720008,BK34
254,50011006,SERENA'S,1268,2 AVENUE,10065,Manhattan,2129882646,Mediterranean,40.76532194,-73.96088915,108,5,11800,1044738,1014417501,MN31
256,50138568,KOONG WING RESTAURANT,6011,4 AVENUE,11220,Brooklyn,9172159751,Chinese,40.64069805,-74.01855309,307,38,12200,3143412,3057820005,BK32
257,50118992,Don Sazon Restaurant,1048,WOODYCREST AVENUE,10452,Bronx,3478284608,Latin American,40.83352356,-73.92729185,204,16,18900,2003140,2025080022,BX26
263,50118255,CATERING KITCHEN (GOOGLE),29,11 AVENUE,10011,Manhattan,9736504261,American,40.74340039,-74.00858899,104,3,9900,1012253,1006620003,MN13
265,41705474,DRAUGHT 55,245,EAST   55 STREET,10022,Manhattan,2123004096,American,40.75851149,-73.96743383,106,4,10800,1038588,1013290121,MN19
267,50072544,GOOD TASTE CHINESE RESTAURANT,3371,BROADWAY,10031,Manhattan,2122818898,Chinese,40.82112578,-73.95433106,109,7,22301,1059964,1020020050,MN06
268,40395343,FELIX,340,WEST BROADWAY,10013,Manhattan,2124310021,French,40.72256515,-74.00362212,102,1,4700,1007113,1004760081,MN24
269,50130345,AFFY'S GRILL,69-67,GRAND AVENUE,11378,Queens,3158321238,American,40.72710219,-73.89341447,405,30,49302,4058560,4025010029,QN30
273,41067996,DINO'S PIZZA,5660,MOSHOLU AVENUE,10471,Bronx,7187960456,Pizza,40.90501845,-73.90174161,208,11,33700,2084804,2058481759,BX22
274,41628404,F. OTTOMANELLI,60-15,WOODSIDE AVENUE,11377,Queens,7184467489,Hamburgers,40.74506803,-73.90428452,402,26,25900,4030037,4012930001,QN63
275,50013184,LIANG PI WANG #10,133-35,ROOSEVELT AVENUE,11354,Queens,7188857332,Chinese,40.758502,-73.83324181,407,20,87100,4112276,4049730016,QN22
276,50091866,COFFEE MONSTER,22-30,154 STREET,11357,Queens,9175637300,Coffee/Tea,40.77793862,-73.80918899,407,19,103300,4107052,4047110075,QN49
277,50090304,KUNST COFFEE HAUS,212-08,41 AVENUE,11361,Queens,7188198076,Coffee/Tea,40.76341545,-73.77268035,411,19,112900,4137456,4062270278,QN46
279,50070206,BLUE CAFE RESTAURANT & BAR,82-63,BROADWAY,11373,Queens,7183960717,Latin American,40.74192009,-73.88112456,404,25,27100,4037524,4015180088,QN29
282,41602165,JO JO PIZZA,1545A,WESTCHESTER AVENUE,10472,Bronx,7183786588,Pizza,40.82868667,-73.87794809,209,18,5400,2000000,2037740006,BX08
283,50102460,GONG CHA,1600,BROADWAY,10019,Manhattan,2126592513,Coffee/Tea,40.7603431,-73.98471276,105,4,12500,1087187,1010207502,MN17
284,41110219,MBJ FOOD SERVICE,29-10,THOMPSON AVENUE,11101,Queens,7184825952,American,40.74520901,-73.93760184,402,26,100,4003516,4002730001,QN31
288,50104496,PARIS BAGUETTE,888,10 AVENUE,10019,Manhattan,9298410404,Bakery Products/Desserts,40.76968117,-73.98812951,104,6,13900,1082431,1010670061,MN15
289,50148212,K-STREET FOOD,2102,2 AVENUE,10029,Manhattan,6468953181,Korean,40.79210241,-73.94134254,111,8,17000,1052801,1016800001,MN33
292,50140170,IMASA NORI,243,WEST   54 STREET,10019,Manhattan,6465231766,Japanese,40.76429807,-73.98309459,105,3,13700,1024845,1010260009,MN17
296,50101866,MI ROMANCE ECUATORIANO,524A,BROOK AVENUE,10455,Bronx,7182923942,Spanish,40.81456828,-73.91515232,201,17,4300,2100792,2022750003,BX39
298,50090107,GONG CHA,136-20,ROOSEVELT AVENUE,11354,Queens,7183537327,Coffee/Tea,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22
299,50006070,MCDONALD'S,40-12,NATIONAL STREET,11368,Queens,7184245106,Hamburgers,40.74932162,-73.862914,404,21,40500,4620476,4019740002,QN26
300,50035973,CAMPO BELLO,118,BROAD STREET,10304,Staten Island,7184481496,Spanish,40.62472226,-74.07916942,501,49,2700,5013923,5005320003,SI37
304,50053465,BSTRO 38,58,WEST   38 STREET,10018,Manhattan,2129440990,Latin American,40.75170257,-73.98452706,105,4,8400,1015983,1008390078,MN17
309,50085751,NYC VEGAN BISTRO,638,MANHATTAN AVENUE,11222,Brooklyn,7186099368,Japanese,40.72404512,-73.950938,301,33,56900,3066103,3026470037,BK76
310,41251802,LETY BAKERY,77-07,37 AVENUE,11372,Queens,7185076539,Bakery Products/Desserts,40.74927826,-73.88879524,403,25,28700,4029588,4012770036,QN28
311,40987028,TONG'S CAFE,41-51,MAIN STREET,11355,Queens,7184613989,Bakery Products/Desserts,40.75691459,-73.82888184,407,20,85300,4309523,4050437501,QN22
313,40401093,FRENCH ROAST,2340,BROADWAY,10024,Manhattan,2127991533,French,40.78767958,-73.97702176,107,6,17100,1033133,1012330016,MN12
314,50104057,PARKSIDE COFFEE SHOP,188,PARKSIDE AVENUE,11226,Brooklyn,7182841914,American,40.65507019,-73.96134688,314,40,50803,3115925,3050540011,BK42
