CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50036378,MR. FONG'S,Manhattan,40,MARKET STREET,10002,4153176266,American,2/6/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,31,,,10/26/2020,Cycle Inspection / Initial Inspection,40.71240943,-73.99436566,103,1,800,1003285,1002750027,MN27
40928698,THALASSA,Manhattan,179,FRANKLIN STREET,10013,2129417661,Greek,6/25/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,A,6/25/2019,10/26/2020,Cycle Inspection / Re-inspection,40.71934521,-74.00935427,101,1,3900,1002075,1001810016,MN24
50009500,HIGH LINE HOTEL,Manhattan,180,10 AVENUE,10011,2129339735,American,8/16/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,10,A,8/16/2019,10/26/2020,Cycle Inspection / Re-inspection,40.74620849,-74.0052294,104,3,8900,1088996,1007187502,MN13
50079815,ROUND PIE PIZZA COMPANY,Staten Island,1957,VICTORY BOULEVARD,10314,7185240000,Pizza/Italian,3/27/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,10,A,3/27/2019,10/26/2020,Cycle Inspection / Re-inspection,40.61256659,-74.12933051,501,50,15100,5101190,5003780012,SI07
40738028,ALI'S ROTI SHOP,Bronx,4220,WHITE PLAINS ROAD,10466,7186552178,Caribbean,12/17/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,17,,,10/26/2020,Cycle Inspection / Initial Inspection,40.89399817,-73.85702979,212,11,43400,2068169,2049970062,BX62
50001494,"DUNKIN', BASKIN ROBBINS",Manhattan,323,WEST   42 STREET,10036,6468611917,Donuts,3/5/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,A,3/5/2019,10/26/2020,Cycle Inspection / Initial Inspection,40.75760173,-73.99065838,104,3,12100,1024942,1010330020,MN15
50090850,JULIANA'S PIZZA,Brooklyn,55,WATER STREET,11201,9177437388,Pizza,7/10/2019,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,17,,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.70329391,-73.99204736,302,33,2100,3000019,3000260050,BK38
41598963,PADDY'S ON THE BAY,Bronx,50,PENNYFIELD AVENUE,10465,7184306651,American,5/9/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,7,A,5/9/2017,10/26/2020,Cycle Inspection / Re-inspection,40.80991107,-73.80358438,210,13,11800,2079314,2055290425,BX52
50039989,AUNTIE GUAN'S KITCHEN,Manhattan,219,EAST   23 STREET,10010,2126853388,Chinese,11/22/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,11/22/2019,10/26/2020,Cycle Inspection / Re-inspection,40.7385686,-73.98251655,106,2,6400,1019773,1009040012,MN21
40736890,BURGER KING,Brooklyn,4101,4 AVENUE,11232,7184359898,Hamburgers,3/29/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,3/29/2017,10/26/2020,Cycle Inspection / Initial Inspection,40.65141768,-74.00741306,307,38,8200,3010720,3007190006,BK32
41110219,MBJ FOOD SERVICE,Queens,2910,THOMPSON AVENUE,11101,7184825952,American,5/29/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,61,,,10/26/2020,Cycle Inspection / Initial Inspection,40.74520901,-73.93760184,402,26,100,4003516,4002730001,QN31
41334633,SHI,Queens,47-20,CENTER BOULEVARD,11109,3472422448,Chinese,10/23/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,15,,,10/26/2020,Cycle Inspection / Initial Inspection,40.74560774,-73.95716191,402,26,100,4538318,4000210070,QN31
50088630,TIA DELI JUICE,Bronx,962,EAST  167 STREET,10459,3474472135,"Juice, Smoothies, Fruit Salads",3/20/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,15,,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.82677912,-73.89167876,202,17,12701,2006031,2027440022,BX27
50052785,BRAVO PIZZA,Manhattan,360,7 AVENUE,10001,2122351114,American,3/13/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,3/13/2019,10/26/2020,Cycle Inspection / Initial Inspection,40.74837398,-73.99253641,105,3,9500,1014294,1007790045,MN17
50100307,JEONG YOOK,Queens,15212,NORTHERN BLVD,11354,9179080234,Korean,1/22/2020,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,35,N,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.76489216,-73.81215421,407,20,115500,4119191,4052660004,QN51
50071901,FRANK'S BAY PIZZA,Staten Island,200,CANAL STREET,10304,7187201900,Pizza,12/7/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,43,,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.6249718,-74.07950834,501,49,2700,5013785,5005260029,SI37
50046390,BAGEL MARKET,Brooklyn,106,7 AVENUE,11215,7182304700,Delicatessen,7/3/2018,Establishment re-closed by DOHMH,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,20,,,10/26/2020,Cycle Inspection / Reopening Inspection,40.67408996,-73.97572358,306,39,15700,3020200,3009570038,BK37
41177613,YAMA,Manhattan,308,EAST   49 STREET,10017,2123553370,Japanese,7/30/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,14,,,10/26/2020,Cycle Inspection / Initial Inspection,40.75402685,-73.96849359,106,4,9000,1038931,1013410047,MN19
41542299,SOCARRAT NOLITA,Manhattan,284,MULBERRY STREET,10012,2122190101,Spanish,3/26/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,25,,,10/26/2020,Cycle Inspection / Initial Inspection,40.72451389,-73.99511144,102,1,4300,1007917,1005090016,MN24
41520990,WORLD BEAN,Queens,0,LAGUARDIA AIRPORT,11369,7186566210,CafÃ©/Coffee/Tea,1/18/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,11,A,1/18/2018,10/26/2020,Cycle Inspection / Initial Inspection,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98
50085897,TWINS DUMPLING KING,Brooklyn,151,AVENUE U,11223,7182668822,Chinese,12/17/2018,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,40,,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.59637479,-73.97870463,311,47,40000,3191086,3070980043,BK29
50046026,EL TEMERARIO,Manhattan,198,8 AVENUE,10011,2126452100,Mexican,10/27/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10,A,10/27/2017,10/26/2020,Cycle Inspection / Re-inspection,40.74349953,-73.99977264,104,3,8700,1014011,1007700001,MN13
41335681,JOHNNY'S PIZZA,Brooklyn,5806,5 AVENUE,11220,7184929735,Pizza/Italian,8/31/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,10,A,8/31/2016,10/26/2020,Cycle Inspection / Re-inspection,40.6405174,-74.01510114,307,38,7400,3016006,3008550039,BK32
50018149,101 MEAT SHOP,Queens,11601,101ST AVE,11419,7184419333,Indian,7/23/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,38,,,10/26/2020,Cycle Inspection / Initial Inspection,40.68927444,-73.82839261,409,28,12000,4441339,4094510050,QN54
41571021,OM INDIAN RESTAURANT,Manhattan,1593,2 AVENUE,10028,2126284500,Indian,1/18/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,43,,,10/26/2020,Cycle Inspection / Initial Inspection,40.77568058,-73.95335139,108,5,13800,1048661,1015280028,MN32
41480255,CHARLEY'S PHILLY STEAKS,Brooklyn,5100,KINGS PLAZA,11234,7183383083,Sandwiches,3/30/2018,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,16,P,3/30/2018,10/26/2020,Cycle Inspection / Reopening Inspection,40.60992885,-73.92228162,318,46,69800,3326830,3084700055,BK45
50001700,DARYL ROTH THEATRE,Manhattan,101,EAST   15 STREET,10003,2123751110,American,4/5/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,4/5/2017,10/26/2020,Cycle Inspection / Re-inspection,40.73522634,-73.98961871,105,2,5000,1017788,1008710001,MN21
41695981,PICO DE GALLO,Queens,82-12,ROOSEVELT AVENUE,11372,7186390808,Spanish,3/6/2018,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,15,B,3/6/2018,10/26/2020,Cycle Inspection / Re-inspection,40.74764008,-73.88371283,404,21,26901,4449562,4014930003,QN29
50067617,RIBALTA MO',Manhattan,2,PENN PLZ,10121,6462698671,Italian,2/3/2020,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,32,,,10/26/2020,Cycle Inspection / Initial Inspection,40.75000977,-73.99134519,105,3,10100,1083026,1007810002,MN17
41385585,LA FONDA DEL SOL,Manhattan,200,PARK AVENUE,10017,2128676767,Spanish,1/10/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,12,A,1/10/2017,10/26/2020,Cycle Inspection / Initial Inspection,40.75415504,-73.97655693,105,4,9200,1085735,1012809010,MN19
50039979,BAYRIDGE SUSHI,Brooklyn,6914,3 AVENUE,11209,7184910662,Japanese,2/14/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,10,A,2/14/2018,10/26/2020,Cycle Inspection / Re-inspection,40.63551717,-74.02613588,310,43,6800,3145624,3058710050,BK31
50063015,COOL FRESH JUICE BAR,Manhattan,333,6 AVENUE,10014,6467569928,"Juice, Smoothies, Fruit Salads",1/8/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,23,,,10/26/2020,Cycle Inspection / Initial Inspection,40.73140884,-74.00117626,102,3,6700,1010086,1005897501,MN23
50073819,DESI CUISINE,Queens,6208,ROOSEVELT AVE,11377,3472423131,Bangladeshi,1/14/2020,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,23,B,1/14/2020,10/26/2020,Cycle Inspection / Re-inspection,40.74573574,-73.90190526,402,26,26100,4307301,4012940060,QN63
50057858,MEXICO 2000,Brooklyn,369,BROADWAY,11211,7184070109,Mexican,10/30/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,39,,,10/26/2020,Cycle Inspection / Initial Inspection,40.70742723,-73.95504046,301,34,52700,3063613,3024630038,BK73
41433057,NEW SHUN WEI RESTAURANT,Manhattan,45,CATHERINE STREET,10038,2129647590,Chinese,6/18/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,23,,,10/26/2020,Cycle Inspection / Initial Inspection,40.71189076,-73.99689428,103,1,800,1003323,1002760053,MN27
41614253,LINDA'S PIZZA,Bronx,4336,KATONAH AVENUE,10470,7183247388,Italian,10/12/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,,,10/26/2020,Cycle Inspection / Initial Inspection,40.89992023,-73.86761585,212,11,45102,2123269,2033870003,BX62
50052345,EL ALTO DELI MEXICAN FOOD,Queens,6001,METROPOLITAN AVE,11385,7184561044,Mexican,2/5/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,25,,,10/26/2020,Cycle Inspection / Initial Inspection,40.7128755,-73.90530486,405,30,60100,4061107,4027360059,QN30
50074248,BAKE CULTURE,Manhattan,48,BOWERY,10013,6468582898,Bakery,7/5/2019,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Y,18,,,10/26/2020,Cycle Inspection / Initial Inspection,40.71572244,-73.99639629,103,1,2900,1002430,1002020025,MN27
50064240,DAXI SICHUAN,Queens,136-20,ROOSEVELT AVENUE,11354,9175631983,Chinese,9/30/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,13,A,9/30/2019,10/26/2020,Cycle Inspection / Re-inspection,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22
40858816,THE ORIGINAL SAL'S PIZZERIA,Queens,60-48,MYRTLE AVENUE,11385,7183665396,Pizza/Italian,1/3/2020,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,A,1/3/2020,10/26/2020,Cycle Inspection / Initial Inspection,40.70062612,-73.89639986,405,34,55700,4086744,4035890036,QN20
41448021,PIER 76,Staten Island,76,BAY STREET,10301,7184477437,Italian,8/21/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,26,,,10/26/2020,Cycle Inspection / Initial Inspection,40.64028483,-74.07562797,501,49,300,5000037,5000050113,SI22
50014694,GRK,Manhattan,451,LEXINGTON AVENUE,10017,2122048598,Greek,6/6/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,6/6/2019,10/26/2020,Cycle Inspection / Re-inspection,40.75313087,-73.97480315,106,4,9200,1036183,1012997501,MN19
50076681,LHASA FRESH FOOD,Queens,3750,74TH ST,11372,3479526934,Asian,5/10/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,30,,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.74773016,-73.89161651,403,25,28900,4029807,4012840061,QN28
50052210,KITCHEN 21 (BOARDWALK),Brooklyn,3052,WEST   21 STREET,11224,7189549801,American,8/1/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,8/1/2018,10/26/2020,Cycle Inspection / Re-inspection,40.57349278,-73.98744099,313,47,35200,3189655,3070710130,BK21
50044600,GARDEN MARKET 37/38,Manhattan,4,PENN PLZ,10121,2124646273,Hotdogs/Pretzels,5/30/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,10,A,5/30/2019,10/26/2020,Cycle Inspection / Initial Inspection,40.75065484,-73.99194424,105,3,10100,1082908,1007810001,MN17
50008280,WILD ORCHID BAR & LOUNGE,Queens,111-48,LEFFERTS BOULEVARD,11420,3479609997,American,10/27/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,17,,,10/26/2020,Cycle Inspection / Initial Inspection,40.68019748,-73.82122331,410,28,10200,4250424,4116230030,QN55
50001401,CERVECCERIA HAVEMEYER,Brooklyn,149,HAVEMEYER STREET,11211,7185995799,Spanish,4/4/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,27,,,10/26/2020,Cycle Inspection / Initial Inspection,40.71174017,-73.95743626,301,34,52300,3063031,3024090035,BK73
50018415,BREAD & BUTTER,Manhattan,14,EAST   44 STREET,10017,2128830444,Delicatessen,3/5/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,21,,,10/26/2020,Cycle Inspection / Initial Inspection,40.75446022,-73.97922058,105,4,9400,1035361,1012780062,MN17
50006972,RICO'S CHICKEN,Queens,74-27,METROPOLITAN AVENUE,11379,7188061705,Spanish,8/18/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,,,10/26/2020,Cycle Inspection / Initial Inspection,40.71292861,-73.87735287,405,30,65703,4071776,4030660026,QN21
41530089,BROOKLYNEER,Manhattan,220,WEST HOUSTON STREET,10014,6466924911,American,2/5/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,A,2/5/2019,10/26/2020,Cycle Inspection / Initial Inspection,40.72853498,-74.00458939,102,3,6700,1008383,1005280015,MN23
50000113,TU CACHAPA,Manhattan,4195,BROADWAY,10033,2125687575,Spanish,6/6/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,42,,,10/26/2020,Cycle Inspection / Initial Inspection,40.8481674,-73.93777959,112,10,26500,1064271,1021760070,MN36
40647590,JACKSON HOLE,Queens,35-01,BELL BOULEVARD,11361,7182810330,American,2/19/2020,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,2/19/2020,10/26/2020,Cycle Inspection / Re-inspection,40.76882736,-73.77367989,411,19,112300,4136508,4061730001,QN46
50005180,J & B YUMMY PIZZA,Brooklyn,5507,5 AVENUE,11220,7184391105,Pizza,3/27/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,3/27/2019,10/26/2020,Cycle Inspection / Re-inspection,40.64218645,-74.0133359,307,38,10000,3015006,3008320006,BK34
50038802,REGO PARK COFFEE SHOP,Queens,9414,63RD DR,11374,7184592233,American,9/28/2018,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,C,9/28/2018,10/26/2020,Cycle Inspection / Reopening Inspection,40.72880751,-73.86314759,406,29,69300,4072133,4030830056,QN18
